epoch,train_loss,val_loss
387,0.039464,0.049181
388,0.039422,0.049179
389,0.039272,0.049178
390,0.039630,0.049177
391,0.039475,0.049174
392,0.039781,0.049173
393,0.039684,0.049172
394,0.040089,0.049172
395,0.039825,0.049172
396,0.039720,0.049173
397,0.039747,0.049174
398,0.039702,0.049174
399,0.039882,0.049175
400,0.039909,0.049175
